"Sex","Age","Weight","Height"
"M",43,"83,12","1,78"
"M",47,"80,85","1,78"
"M",42,"73,94","1,78"
"M",48,"79,49","1,82"
"M",40,"71,67","1,76"
"M",48,"80,4","1,85"
"M",51,"81,19","1,83"
"M",40,"86,64","1,88"
"M",44,"85,05","1,84"
"M",52,"93,67","1,89"
"M",44,"84,03","1,82"
"M",40,"72,69","1,75"
"M",47,"68,72","1,7"
"M",50,"73,03","1,69"
"M",46,"75,75","1,7"
"M",42,"80,51","1,75"
"M",43,"69,06","1,72"
"M",40,"87,2","1,86"
"M",42,"74,96","1,77"
"M",49,"77,91","1,82"
"M",40,"77,68","1,79"
"M",47,"89,36","1,86"
"M",50,"71,21","1,7"
"M",41,"76,32","1,77"
"M",44,"84,37","1,77"
"M",39,"75,64","1,8"
"M",43,"85,16","1,88"
"M",40,"76,32","1,81"
"M",49,"96,5","1,91"
"M",40,"80,17","1,8"
"M",40,"78,59","1,77"
"M",52,"75,75","1,72"
"M",23,"72,46","1,84"
"M",23,"85,34","1,97"
"M",24,"70,76","1,8"
"M",24,"94,57","1,85"
"M",25,"93,67","1,77"
"M",25,"65,2","1,84"
"M",26,"101,15","1,78"
"M",26,"69,06","1,75"
"M",26,"109,66","1,89"
"M",27,"66,23","1,84"
"M",27,"71,1","1,71"
"M",27,"90,83","1,87"
"M",28,"77,79","1,91"
"M",28,"93,33","1,75"
"M",28,"82,78","1,84"
"M",30,"61,92","1,75"
"M",31,"80,4","1,82"
"M",31,"68,61","1,84"
"M",33,"88,91","1,85"
"M",33,"83,58","1,75"
"M",34,"63,5","1,79"
"M",34,"99,22","1,83"
"M",35,"98,43","1,87"
"M",35,"75,41","1,73"
"M",35,"101,95","1,84"
"M",35,"103,53","1,77"
"M",35,"78,36","1,77"
"M",35,"69,06","1,72"
"M",35,"57,04","1,66"
"M",35,"80,4","1,8"
"M",36,"79,95","1,82"
"M",36,"102,85","1,82"
"M",37,"65,88","1,76"
"M",37,"68,49","1,7"
"M",37,"109,43","1,82"
"M",38,"84,94","1,76"
"M",39,"106,48","1,89"
"M",39,"99,45","1,89"
"M",40,"53,75","1,73"
"M",40,"66,11","1,71"
"M",40,"72,24","1,77"
"M",40,"77,34","1,89"
"M",40,"75,98","1,82"
"M",41,"105,57","1,89"
"M",41,"95,48","1,83"
"M",41,"91,74","1,84"
"M",41,"83,92","1,73"
"M",41,"69,4","1,76"
"M",42,"110,79","1,93"
"M",42,"87,77","1,79"
"M",42,"101,95","1,9"
"M",42,"73,82","1,85"
"M",42,"81,65","1,73"
"M",42,"70,87","1,75"
"M",42,"76,2","1,82"
"M",42,"75,86","1,85"
"M",43,"77,45","1,71"
"M",43,"80,85","1,78"
"M",43,"68,04","1,76"
"M",43,"90,95","1,82"
"M",44,"83,46","1,88"
"M",44,"101,15","1,77"
"M",44,"94,69","1,85"
"M",44,"75,3","1,66"
"M",47,"88,45","1,84"
"M",47,"72,8","1,78"
"M",47,"72,46","1,8"
"M",49,"63,73","1,73"
"M",49,"98,09","1,89"
"M",49,"76,32","1,82"
"M",50,"88,34","1,8"
"M",50,"78,36","1,85"
"M",51,"99,34","1,63"
"M",51,"67,7","1,77"
"M",51,"70,08","1,78"
"M",52,"90,38","1,82"
"M",53,"70,08","1,76"
"M",54,"69,51","1,79"
"M",54,"104,33","1,84"
"M",54,"73,37","1,71"
"M",55,"64,52","1,71"
"M",55,"81,53","1,75"
"M",55,"57,38","1,7"
"M",55,"76,88","1,73"
"M",55,"90,04","1,89"
"M",56,"79,15","1,77"
"M",56,"76,09","1,74"
"M",57,"67,02","1,67"
"M",57,"82,67","1,82"
"M",58,"79,61","1,82"
"M",58,"73,37","1,71"
"M",60,"71,55","1,71"
"M",62,"76,54","1,71"
"M",62,"86,86","1,84"
"M",63,"99,41","1,77"
"M",64,"70,42","1,77"
"M",65,"86,07","1,67"
"M",65,"57,83","1,67"
"M",65,"101,83","1,73"
"M",66,"106,26","1,83"
"M",67,"103,31","1,85"
"M",67,"90,49","1,74"
"M",68,"70,53","1,76"
"M",69,"97,75","1,79"
"M",70,"60,9","1,7"
"M",72,"91,17","1,77"
"M",72,"84,71","1,68"
"M",72,"86,52","1,79"
"M",74,"94,12","1,78"
"F",22,"49,4424","1,6129"
"F",22,"60,7824","1,5748"
"F",21,"63,0504","1,61798"
"F",20,"53,0712","1,68148"
"F",20,"59,4216","1,73228"
"F",24,"68,04","1,6129"
"F",21,"76,2048","1,78308"
"F",21,"56,2464","1,7145"
"F",20,"54,8856","1,66878"
"F",19,"73,0296","1,6891"
"F",20,"71,6688","1,7399"
"F",20,"44,4528","1,60528"
"F",24,"67,5864","1,7907"
"F",18,"53,9784","1,6002"
"F",19,"51,7104","1,6383"
"F",21,"52,6176","1,6002"
"F",19,"61,6896","1,6256"
"F",21,"63,9576","1,68656"
"F",19,"62,5968","1,651"
"F",21,"58,968","1,7272"
"F",20,"50,3496","1,5748"
"F",21,"62,1432","1,6256"
"F",18,"48,5352","1,6129"
"F",18,"70,308","1,7272"
"F",20,"50,8032","1,6002"
"F",19,"63,504","1,7272"
"F",22,"52,164","1,7018"
"F",19,"50,3496","1,6002"
"F",24,"60,7824","1,6637"
"F",19,"59,4216","1,5875"
"F",23,"54,8856","1,54178"
"F",21,"58,5144","1,60782"
"F",22,"64,8648","1,61798"
"F",19,"62,5968","1,6477"
"F",22,"53,9784","1,7018"
"F",20,"66,6792","1,7018"
"F",21,"68,9472","1,778"
"F",20,"53,5248","1,6002"
"F",22,"58,5144","1,651"
"F",19,"64,8648","1,63322"
"F",21,"63,0504","1,6891"
"F",19,"59,8752","1,66878"
"F",20,"77,112","1,6637"
"F",19,"43,5456","1,5875"
"F",24,"49,4424","1,5875"
"F",20,"65,772","1,7272"
"F",20,"50,8032","1,6383"
"F",21,"67,5864","1,6637"
"F",20,"61,6896","1,66878"
"F",22,"67,5864","1,7145"
"F",19,"59,4216","1,7145"
"F",20,"44,4528","1,6002"
"F",19,"56,2464","1,6383"
"F",18,"68,4936","1,6002"
"F",20,"66,2256","1,8034"
"F",22,"62,1432","1,6256"
"F",18,"62,1432","1,6764"
"F",23,"65,3184","1,6891"
"F",19,"68,4936","1,651"
"F",20,"58,0608","1,5748"
"F",21,"68,9472","1,7272"
"F",19,"55,3392","1,6383"
"F",18,"61,6896","1,6383"
"F",18,"55,7928","1,63322"
"F",18,"63,9576","1,651"
"F",19,"59,8752","1,6256"
"F",21,"61,6896","1,6256"
"F",23,"76,6584","1,6256"
"F",19,"75,2976","1,8034"
"F",21,"57,6072","1,7145"
"F",22,"59,4216","1,7526"
"F",19,"59,8752","1,651"
"F",19,"74,3904","1,6764"
"F",19,"65,772","1,7272"
"F",24,"57,1536","1,6891"
"F",20,"58,968","1,66878"
"F",20,"68,04","1,69164"
"F",23,"65,3184","1,7018"
"F",19,"51,7104","1,6129"
"F",18,"63,9576","1,7399"
"F",20,"70,7616","1,7018"
"F",20,"61,6896","1,8034"
"F",19,"66,2256","1,651"
"F",19,"74,3904","1,7272"
"F",19,"65,772","1,7018"
"F",21,"47,628","1,64338"
"F",21,"57,1536","1,6256"
"F",20,"53,9784","1,66878"
"F",20,"47,628","1,66878"
"F",24,"70,308","1,73482"
"F",20,"72,1224","1,7526"
"F",23,"50,8032","1,6129"
"F",18,"57,6072","1,651"
"F",22,"59,8752","1,74498"
"F",21,"57,6072","1,7907"
"F",21,"69,8544","1,6891"
"F",19,"54,8856","1,7145"
"F",19,"60,7824","1,7018"
"F",20,"49,896","1,6764"
"F",20,"49,896","1,6637"
"F",20,"59,8752","1,7145"
"F",21,"52,6176","1,651"
"F",20,"64,4112","1,651"
"F",18,"74,844","1,7145"
"F",21,"69,4008","1,7272"
"F",20,"77,112","1,6764"
"F",20,"64,4112","1,6637"
"F",20,"74,3904","1,70942"
"F",21,"52,6176","1,6129"
"F",20,"54,8856","1,6637"
"F",20,"54,8856","1,6764"
"F",23,"68,4936","1,7272"
"F",20,"50,3496","1,6129"
"F",19,"63,9576","1,7018"
"F",18,"60,3288","1,6764"
"F",20,"54,432","1,778"
"F",21,"53,5248","1,7018"
"F",22,"49,4424","1,5621"
"F",23,"59,8752","1,651"
"F",1,"62,5968","1,64338"
"F",21,"56,2464","1,6891"
"F",21,"64,4112","1,651"
"F",20,"57,6072","1,6764"
"F",21,"56,7","1,7145"
"F",19,"59,8752","1,77038"
"F",19,"48,5352","1,7526"
"F",23,"65,3184","1,7272"
"F",21,"62,5968","1,6637"
"F",21,"69,8544","1,778"
"F",20,"57,6072","1,6256"
"F",20,"75,7512","1,7653"
"F",22,"49,4424","1,6002"
"F",20,"59,8752","1,651"
"F",21,"59,4216","1,68402"
"F",23,"52,164","1,651"
"F",20,"64,8648","1,79578"
"F",25,"75,2976","1,6256"
"F",18,"62,1432","1,7526"
"F",21,"56,2464","1,7272"
"F",19,"73,9368","1,6637"
"F",21,"48,9888","1,5621"
"F",21,"64,8648","1,778"
"F",21,"56,7","1,6002"
"F",18,"58,0608","1,65862"
"F",20,"58,968","1,6764"
"F",21,"56,2464","1,6256"
"F",20,"58,0608","1,7526"
"F",22,"54,8856","1,73228"
"F",22,"76,6584","1,70688"
"F",22,"58,5144","1,7399"
"F",21,"86,184","1,6637"
"F",22,"65,3184","1,6002"
"F",21,"48,0816","1,69418"
"F",19,"64,4112","1,5367"
"F",19,"42,1848","1,6129"
"F",20,"48,9888","1,66878"
"F",20,"53,0712","1,6002"
"F",20,"48,5352","1,6637"
"F",20,"59,4216","1,6383"
"F",21,"50,3496","1,5621"
"F",20,"55,3392","1,6383"
"F",22,"58,0608","1,6256"
"F",22,"54,432","1,69418"
"F",24,"53,5248","1,6002"
"F",20,"73,0296","1,6891"
"F",20,"64,8648","1,7272"
"F",19,"48,5352","1,651"
"F",24,"56,2464","1,7272"
"F",20,"74,844","1,6256"
"F",22,"76,6584","1,7399"
"F",20,"48,9888","1,6002"
"F",21,"57,6072","1,7018"
"F",20,"57,6072","1,6256"
"F",20,"57,6072","1,60782"
"F",22,"57,1536","1,6256"
"F",20,"67,1328","1,6764"
"F",19,"55,7928","1,6129"
"F",18,"61,236","1,6383"
"F",23,"59,8752","1,6256"
"F",23,"59,8752","1,5621"
"F",21,"48,5352","1,5748"
"F",20,"51,7104","1,5748"
"F",22,"50,8032","1,651"
"F",24,"47,628","1,6002"
